vehicle_id,shape_collider,length,width
93041,motorcycle,2.2,0.9
93042,delivery,6.5,2.16
93043,delivery,6.5,2.16
93044,moped,2.1,0.8
93045,passenger,5,1.8
93046,passenger,5,1.8
93047,moped,2.1,0.8
93048,motorcycle,2.2,0.9
93049,delivery,6.5,2.16
93050,motorcycle,2.2,0.9
93051,delivery,6.5,2.16
93052,delivery,6.5,2.16
93053,passenger,5,1.8
93054,delivery,6.5,2.16
93056,delivery,6.5,2.16
93057,moped,2.1,0.8
93058,passenger,5,1.8
93059,passenger,5,1.8
93060,passenger,5,1.8
93061,passenger,5,1.8
93062,delivery,6.5,2.16
93064,passenger,5,1.8
93065,passenger,5,1.8
93066,passenger,5,1.8
93067,passenger,5,1.8
93069,passenger,5,1.8
93070,motorcycle,2.2,0.9
93071,delivery,6.5,2.16
93072,moped,2.1,0.8
93073,delivery,6.5,2.16
93074,passenger,5,1.8
93075,passenger,5,1.8
93076,passenger,5,1.8
93077,bus,12,2.5
93078,delivery,6.5,2.16
93079,passenger,5,1.8
93080,delivery,6.5,2.16
93081,delivery,6.5,2.16
93082,motorcycle,2.2,0.9
93083,motorcycle,2.2,0.9
93084,passenger,5,1.8
